Gene Symbol	Gene ID	Number of occurrences	Features	HPO IDs	HPO Match Score
PGM3	ENSG00000013375	1	Recurrent viral infections (0.85)	HP:0004429	0.85
PHACTR1	ENSG00000112137	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PIGA	ENSG00000165195	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PIGG	ENSG00000174227	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PIGT	ENSG00000124155	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
PIK3CA	ENSG00000121879	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
PIK3CD	ENSG00000171608	1	Recurrent viral infections (0.85)	HP:0004429	0.85
PLCB1	ENSG00000182621	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PLCD1	ENSG00000187091	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PLXND1	ENSG00000004399	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PMM2	ENSG00000140650	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
PNP	ENSG00000198805	1	Recurrent viral infections (0.85)	HP:0004429	0.85
POFUT1	ENSG00000101346	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
POGLUT1	ENSG00000163389	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
POLD3	ENSG00000077514	1	Recurrent viral infections (0.85)	HP:0004429	0.85
POMP	ENSG00000132963	1	Recurrent viral infections (0.85)	HP:0004429	0.85
PRDM16	ENSG00000142611	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PRF1	ENSG00000180644	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
PRKACA	ENSG00000072062	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PRKACB	ENSG00000142875	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PRKAR1A	ENSG00000108946	2	Abnormal morphology of the radius (0.85); Abnormality of urine homeostasis (0.7)	HP:0002818; HP:0003110	0.85; 0.7
PRKCSH	ENSG00000130175	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PRKCZ	ENSG00000067606	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
PSENEN	ENSG00000205155	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
PTPN11	ENSG00000179295	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
PUF60	ENSG00000179950	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
RAF1	ENSG00000132155	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
RAG1	ENSG00000166349	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RAG2	ENSG00000175097	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RAI1	ENSG00000108557	1	Abnormal forearm morphology (0.55)	HP:0002973	0.55
RALGAPA1	ENSG00000174373	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RBSN	ENSG00000131381	1	Femur fracture (0.39)	HP:0031846	0.39
RERE	ENSG00000142599	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
RET	ENSG00000165731	1	Flushing (0.85)	HP:0031284	0.85
RFX5	ENSG00000143390	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RFXANK	ENSG00000064490	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RFXAP	ENSG00000133111	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RHOBTB2	ENSG00000008853	1	Flushing (0.85)	HP:0031284	0.85
RMRP	ENSG00000277027	1	Susceptibility to chickenpox (1.0)	HP:0005360	1.0
RNF168	ENSG00000163961	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RNF31	ENSG00000092098	1	Recurrent viral infections (0.85)	HP:0004429	0.85
RPS6KA3	ENSG00000177189	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
RUNX1	ENSG00000159216	2	Flushing (0.85); Abnormal skin morphology (0.55)	HP:0031284; HP:0011121	0.85; 0.55
RYR1	ENSG00000196218	2	Flushing (0.85); Abnormal heart valve morphology (0.55)	HP:0031284; HP:0001654	0.85; 0.55
SALL4	ENSG00000101115	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
SBDS	ENSG00000126524	1	Recurrent viral infections (0.85)	HP:0004429	0.85
SCN2A	ENSG00000136531	2	Flushing (0.85); Abnormal skin morphology (0.55)	HP:0031284; HP:0011121	0.85; 0.55
SCN3A	ENSG00000153253	1	Flushing (0.85)	HP:0031284	0.85
SCN9A	ENSG00000169432	1	Flushing (0.85)	HP:0031284	0.85
SDHA	ENSG00000073578	1	Flushing (0.85)	HP:0031284	0.85
SDHAF2	ENSG00000167985	1	Flushing (0.85)	HP:0031284	0.85
SDHB	ENSG00000117118	1	Flushing (0.85)	HP:0031284	0.85
SDHC	ENSG00000143252	1	Flushing (0.85)	HP:0031284	0.85
SDHD	ENSG00000204370	1	Flushing (0.85)	HP:0031284	0.85
SEC63	ENSG00000025796	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
SELENON	ENSG00000162430	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
SHOX	ENSG00000185960	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
SIK1	ENSG00000142178	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
SKI	ENSG00000157933	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
SKIC2	ENSG00000204351	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
SKIC3	ENSG00000198677	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
SLC13A1	ENSG00000081800	1	Fractured forearm bone (0.85)	HP:0003961	0.85
SLC1A3	ENSG00000079215	1	Flushing (0.85)	HP:0031284	0.85
SLC25A11	ENSG00000108528	1	Flushing (0.85)	HP:0031284	0.85
SLC26A2	ENSG00000155850	1	Abnormal forearm bone morphology (0.7)	HP:0040072	0.7
SLC2A1	ENSG00000117394	1	Flushing (0.85)	HP:0031284	0.85
SLC2A2	ENSG00000163581	1	Bone fracture (0.7)	HP:0020110	0.7
SLC34A2	ENSG00000157765	1	Mitral valve calcification (0.85)	HP:0004382	0.85
SLC35A2	ENSG00000292209	1	Abnormal long bone morphology (0.7)	HP:0011314	0.7
SLC39A4	ENSG00000147804	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
SMPD1	ENSG00000166311	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
SNX14	ENSG00000135317	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
SOX9	ENSG00000125398	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
SP110	ENSG00000135899	1	Recurrent viral infections (0.85)	HP:0004429	0.85
SPEG	ENSG00000072195	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
SPEN	ENSG00000065526	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
SPTAN1	ENSG00000197694	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
SRP19	ENSG00000153037	1	Recurrent viral infections (0.85)	HP:0004429	0.85
SRSF2	ENSG00000161547	2	Flushing (0.85); Abnormal skin morphology (0.55)	HP:0031284; HP:0011121	0.85; 0.55
STAT1	ENSG00000115415	1	Recurrent viral infections (0.85)	HP:0004429	0.85
STAT3	ENSG00000168610	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
STAT6	ENSG00000166888	1	Recurrent viral infections (0.85)	HP:0004429	0.85
STK4	ENSG00000101109	1	Recurrent viral infections (0.85)	HP:0004429	0.85
STX11	ENSG00000135604	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
STXBP2	ENSG00000076944	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
TAP2	ENSG00000204267	1	Recurrent viral infections (0.85)	HP:0004429	0.85
TAPT1	ENSG00000169762	1	Fractured radius (1.0)	HP:0003978	1.0
TBX20	ENSG00000164532	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
TBX3	ENSG00000135111	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
TCIRG1	ENSG00000110719	2	Recurrent viral infections (0.85); Femur fracture (0.39)	HP:0004429; HP:0031846	0.85; 0.39
TERT	ENSG00000164362	1	Abnormality of urine homeostasis (0.7)	HP:0003110	0.7
TET2	ENSG00000168769	2	Flushing (0.85); Abnormal skin morphology (0.55)	HP:0031284; HP:0011121	0.85; 0.55
TGFB1	ENSG00000105329	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
TLL1	ENSG00000038295	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
TMEM127	ENSG00000135956	1	Flushing (0.85)	HP:0031284	0.85
TMEM67	ENSG00000164953	1	Abnormal long bone morphology (0.7)	HP:0011314	0.7
TMTC3	ENSG00000139324	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
TNFRSF11A	ENSG00000141655	1	Femur fracture (0.39)	HP:0031846	0.39
TNXB	ENSG00000206258	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
TP53	ENSG00000141510	2	Flushing (0.85); Abnormality of urine homeostasis (0.7)	HP:0031284; HP:0003110	0.85; 0.7
TPM2	ENSG00000198467	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
TPM3	ENSG00000143549	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
TRPV6	ENSG00000165125	1	Fractured rib (0.382)	HP:0041159	0.382
TSC1	ENSG00000165699	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
TSC2	ENSG00000103197	1	Generalized abnormality of skin (0.7)	HP:0011354	0.7
TTN	ENSG00000155657	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
TYK2	ENSG00000105397	1	Recurrent viral infections (0.85)	HP:0004429	0.85
UBA1	ENSG00000130985	1	Bone fracture (0.7)	HP:0020110	0.7
UBE4B	ENSG00000130939	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
UNC13D	ENSG00000092929	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
USP48	ENSG00000090686	1	Flushing (0.85)	HP:0031284	0.85
USP8	ENSG00000138592	1	Flushing (0.85)	HP:0031284	0.85
VCP	ENSG00000165280	2	Abnormal long bone morphology (0.7); Abnormal skeletal morphology (0.55)	HP:0011314; HP:0011842	0.7; 0.55
VHL	ENSG00000134086	1	Flushing (0.85)	HP:0031284	0.85
VPS35L	ENSG00000103544	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
WASHC5	ENSG00000164961	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
WDR26	ENSG00000162923	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
WDR45	ENSG00000196998	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
XYLT2	ENSG00000015532	1	Femur fracture (0.39)	HP:0031846	0.39
ZAP70	ENSG00000115085	1	Recurrent viral infections (0.85)	HP:0004429	0.85
ZMPSTE24	ENSG00000084073	3	Mitral valve calcification (0.85); Abnormal mitral valve morphology (0.7); Generalized abnormality of skin (0.7)	HP:0004382; HP:0001633; HP:0011354	0.85; 0.7; 0.7
ZNRF3	ENSG00000183579	1	Abnormality of urine homeostasis (0.7)	HP:0003110	0.7
